"SW","SERIES","RIM","LOAD INDEX","Rein","Air Pressure","Load","Sh","Filler H","Filler har","Apex","Cover mat","Cover ga","Liner","Car","Endurance"
235,65,17,108,0,180,2000,152.75,35,85,3.71,1260,1.2,1.5,1000,42.07
245,60,18,105,0,180,1850,147,50,70,4.55,1260,1,1.5,1000,55
235,65,18,106,0,180,1900,152.75,50,70,4.55,840,1,1.5,1000,67.58
245,55,19,107,0,180,1950,134.75,45,70,4.33,1260,1,1.5,1000,45.51
255,50,20,109,0,180,2060,127.5,40,85,4.06,1260,1.2,1.5,1000,19.09
255,60,19,109,0,180,2060,153,50,85,4.55,1260,1.2,1.5,1000,43.17
255,50,19,107,1,220,1950,127.5,40,85,4.06,1260,1.2,1.5,1000,15.53
245,65,17,111,0,180,2180,159.25,50,70,4.55,1260,1,1.5,1000,45.13
265,60,18,110,0,180,2120,159,50,70,4.55,1260,1,1.5,1000,16.52
255,55,18,109,0,180,2060,140.25,45,85,4.33,1260,1.2,1.5,1000,29.59
265,65,18,114,0,180,2360,172.25,50,70,4.55,1260,1,1.5,1000,12.16
255,70,18,113,0,180,2300,178.5,50,70,4.55,1260,1,1.5,1000,9.09
255,65,18,111,0,180,2180,165.75,50,70,4.55,1260,1.2,1.5,1000,48
265,50,20,107,0,180,1950,132.5,45,85,4.33,1260,1.2,1.5,1000,24
265,40,21,105,1,220,1850,106,30,85,3.25,1260,1.2,1.5,1500,5.3
235,70,16,106,0,180,1900,164.5,50,70,4.55,1260,1,1.5,1000,19.28
245,70,17,110,0,180,2120,171.5,55,70,4.72,1260,1,1.5,1000,12.48
265,65,17,112,0,180,2240,172.25,50,70,4.55,1260,1,1.5,1000,15.27
235,60,18,107,0,180,1950,141,10,85,0,1260,1.2,1.5,1500,101.04
235,65,17,108,0,180,2000,152.75,10,85,0,1260,1.2,1.5,1000,73.42
245,60,18,105,0,180,1850,147,10,85,0,1260,1,1.5,1000,48
235,65,18,106,0,180,1900,152.75,10,85,0,840,1,1.5,1000,85.52
245,55,19,107,0,180,1950,134.75,10,85,0,1260,1,1.5,1000,72
255,50,20,109,0,180,2060,127.5,10,85,0,1260,1.2,1.5,1000,64.03
255,60,19,109,0,180,2060,153,10,85,0,1260,1.2,1.5,1000,73.44
255,50,19,107,1,220,1950,127.5,10,85,0,1260,1.2,1.5,1000,72.18
